epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,0.4122333849802373,0.8021978021978022,0.1608994316289189,0.9649122807017544
1,0.1367005016526274,0.9560439560439561,0.08238114468954545,0.9824561403508771
2,0.09005386462066996,0.978021978021978,0.06443843259216155,0.9912280701754386
3,0.07840539522457418,0.978021978021978,0.059531704262487245,0.9912280701754386
4,0.07549990902843447,0.9714285714285714,0.057895216174852625,0.9912280701754386
5,0.06863019873405259,0.978021978021978,0.05989441435710039,0.9824561403508771
6,0.06861331851324529,0.978021978021978,0.06317175337459234,0.9824561403508771
7,0.06425664438157593,0.9802197802197802,0.0641953191263051,0.9824561403508771
8,0.061772036000599835,0.9824175824175824,0.06486411763574176,0.9824561403508771
9,0.06295283589033215,0.9736263736263736,0.07308138274254683,0.9736842105263158
10,0.06034099896338629,0.9802197802197802,0.06405230905938654,0.9824561403508771
11,0.057518193182286986,0.9802197802197802,0.06597682023207796,0.9824561403508771
12,0.05852340816264923,0.9824175824175824,0.06717259923620673,0.9736842105263158
13,0.060587563906453104,0.978021978021978,0.0678812329882721,0.9736842105263158
14,0.059342585859817956,0.9802197802197802,0.06924479931714793,0.9824561403508771
15,0.05712411317219971,0.9802197802197802,0.06843607989449914,0.9824561403508771
16,0.05780442151901392,0.9824175824175824,0.07393144719470186,0.9736842105263158
17,0.05282237101617739,0.9824175824175824,0.07177303786060726,0.9824561403508771
18,0.057847173925073464,0.9824175824175824,0.08129565943110463,0.9824561403508771
19,0.055806367053882755,0.9824175824175824,0.08082060802100592,0.9736842105263158
20,0.05535275387714322,0.9802197802197802,0.08520410650539006,0.9736842105263158
21,0.05425334456621819,0.9846153846153847,0.08104093295013268,0.9736842105263158
22,0.05300277995219557,0.9846153846153847,0.09099701157958937,0.9649122807017544
23,0.05495225188359583,0.9802197802197802,0.09605924464546024,0.9736842105263158
24,0.054119093065498114,0.9802197802197802,0.09624716310490154,0.9736842105263158
25,0.05366132175035509,0.9824175824175824,0.08259138201698177,0.9736842105263158
26,0.05101429015274338,0.9846153846153847,0.09373436034096422,0.9649122807017544
27,0.05095231098435901,0.9824175824175824,0.09480470978945654,0.9736842105263158
28,0.05424361578650161,0.9802197802197802,0.09124451355841005,0.9736842105263158
