epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,0.5473279852774499,0.7208791208791209,0.4397566538953741,0.8947368421052632
1,0.34397913908433936,0.9252747252747253,0.2591540919994059,0.9385964912280702
2,0.2135951528215354,0.945054945054945,0.17128023617548563,0.9473684210526315
3,0.1548787902564283,0.9538461538461539,0.13257000042452338,0.9473684210526315
4,0.12467218925024902,0.967032967032967,0.10882651069856815,0.9649122807017544
5,0.10730580652919838,0.9736263736263736,0.09319630062915515,0.9649122807017544
6,0.09643418950623607,0.9736263736263736,0.08359506874920407,0.9736842105263158
7,0.0893342513973279,0.9714285714285714,0.07856696690214914,0.9736842105263158
8,0.08433528316786972,0.9758241758241758,0.0742164489517875,0.9824561403508771
9,0.08020512512188188,0.9758241758241758,0.07140943901255899,0.9824561403508771
10,0.07737938321847822,0.9758241758241758,0.06996116141950975,0.9824561403508771
11,0.07500310677810498,0.9758241758241758,0.06811420692647453,0.9824561403508771
12,0.07313304767750478,0.9846153846153847,0.0671974527980656,0.9824561403508771
13,0.07140106747431248,0.9802197802197802,0.0678364006925004,0.9824561403508771
14,0.07068279045648897,0.9824175824175824,0.06627519256851558,0.9824561403508771
15,0.06877231525121237,0.9846153846153847,0.06566372700646976,0.9824561403508771
16,0.06796567461660483,0.9824175824175824,0.06556087387586858,0.9824561403508771
17,0.06724191328669281,0.9802197802197802,0.06623036765030141,0.9824561403508771
18,0.06574778909077499,0.9846153846153847,0.06458919722667203,0.9824561403508771
19,0.06528222085201353,0.9824175824175824,0.0639834808965031,0.9736842105263158
20,0.06424421097995811,0.9824175824175824,0.06377666942880723,0.9824561403508771
21,0.06354218254591523,0.9824175824175824,0.06452935319696178,0.9824561403508771
22,0.0630107203148713,0.9824175824175824,0.06394629833828777,0.9824561403508771
23,0.06178359148061585,0.9846153846153847,0.06424299167047341,0.9824561403508771
24,0.06115162800547279,0.9802197802197802,0.06355117065158875,0.9736842105263158
25,0.061637007026143435,0.9824175824175824,0.0645616011066301,0.9824561403508771
26,0.060636883437309205,0.9846153846153847,0.06445279240662205,0.9824561403508771
27,0.06016645552263048,0.9824175824175824,0.06400247001671323,0.9824561403508771
28,0.05994499829697436,0.9824175824175824,0.06402812267837546,0.9736842105263158
29,0.05951527865257716,0.9824175824175824,0.06406448634363081,0.9736842105263158
30,0.058651880795445095,0.9846153846153847,0.0655247115006302,0.9824561403508771
31,0.058311423468197524,0.9846153846153847,0.06463677904144845,0.9736842105263158
32,0.057243530145974206,0.9846153846153847,0.06503310537407947,0.9736842105263158
33,0.05668744567555149,0.9846153846153847,0.06689925290516147,0.9824561403508771
34,0.05736157553931203,0.9824175824175824,0.06683823077988,0.9824561403508771
